user,text,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
elonmusk,@jimcramer @JohnLegere Umm … no,24122,1059,2022-11-14,umm no,0.0,0.0
elonmusk,@chainsawdotcom @CL207 SpaceX Starlink bought a tiny – not large – ad package to test effectiveness of Twitter advertising in Australia &amp; Spain. Did same for FB/Insta/Google.,5759,334,2022-11-14,spacex starlink bought tiny not large ad package test effectiveness twitter advertising australia amp spain did same fb insta google,-0.03571428571428571,0.3511904761904762
elonmusk,@NFTDannny @SawyerMerritt End of week,4409,206,2022-11-14,end week,0.0,0.0
elonmusk,@Fwiz @SawyerMerritt Join Twitter!,6887,261,2022-11-14,join twitter,0.0,0.0
elonmusk,@CL207 Comments in this thread had me rofl,5022,167,2022-11-14,comments this thread had me rofl,0.8,0.9
elonmusk,@CL207 🤣🤣🔥🔥🪦🪦,40648,1485,2022-11-14,,0.0,0.0
elonmusk,@SawyerMerritt Something tells me this would work 🧠,61297,3035,2022-11-14,something tells me this would work,0.0,0.0
elonmusk,@__SeriousGemini @dawallach @Jason That goes without saying 🤣,5594,425,2022-11-14,that goes without saying,0.0,0.0
elonmusk,"@dawallach @Jason BTC will make it, but might be a long winter",27543,5376,2022-11-14,btc will make it but might be long winter,-0.05,0.4
elonmusk,@johnjhacking Concerning,2478,114,2022-11-14,concerning,0.0,0.0
elonmusk,@TrungTPhan @SBF_FTX 🔥🔥,11781,361,2022-11-14,,0.0,0.0
elonmusk,@ShooterMcKevin1 @MrHumanityGives Accurate assessment,2366,99,2022-11-14,accurate assessment,0.4000000000000001,0.6333333333333334
elonmusk,@chicago_glenn @MrHumanityGives Great movie,3654,133,2022-11-14,great movie,0.8,0.75
elonmusk,@MrHumanityGives Are FB followed real?,20035,1003,2022-11-14,are fb followed real,0.2,0.30000000000000004
elonmusk,@BillyM2k Damn,22721,965,2022-11-14,,0.0,0.0
elonmusk,@gchahal Good summary!,11793,712,2022-11-14,good summary,0.7,0.6000000000000001
elonmusk,@MuskUniversity I do,14026,545,2022-11-14,i do,0.0,0.0
elonmusk,@AnaPaulaVolei @GFiuza_Oficial Will look into it,39389,3981,2022-11-14,will look into it,0.0,0.0
elonmusk,@ashleevance 🤣💯,22435,690,2022-11-13,,0.0,0.0
elonmusk,@EricFrohnhoefer Twitter is super slow on Android. What have you done to fix that?,33468,1494,2022-11-13,twitter is super slow android what have you done fix that,0.016666666666666635,0.5333333333333333
elonmusk,@EricFrohnhoefer Then please correct me. What is the right number?,109874,3673,2022-11-13,then please correct me what is right number,0.2857142857142857,0.5357142857142857
elonmusk,"@_hawko False. Twitter spends $13M/year on food service for SF HQ. Badge in records show peak occupancy was 25%, average occupancy below 10%.

There are more people preparing breakfast than eating breakfast.

They don’t even bother serving dinner, because there is no one in the building.",154614,12463,2022-11-13,false twitter spends 13m year food service sf hq badge records show peak occupancy was 25 average occupancy below 10 there are more people preparing breakfast than eating breakfast they don t even bother serving dinner because there is no one building,-0.01666666666666668,0.5
elonmusk,@WallStreetSilv @mtaibbi Yup,24611,1510,2022-11-13,yup,0.0,0.0
elonmusk,@TrungTPhan 🤣,13876,501,2022-11-13,,0.0,0.0
elonmusk,@dennishegstad Increasing granularity about what “verified” actually means is the right move,3762,210,2022-11-13,increasing granularity about what verified actually means is right move,0.14285714285714285,0.31785714285714284
elonmusk,@jakeshieldsajj @SenMarkey @washingtonpost https://t.co/oNmqc7NlxY,7477,338,2022-11-13,,0.0,0.0
elonmusk,@dogeofficialceo @TomFitton https://t.co/P0piGwEkmG,10443,2166,2022-11-13,,0.0,0.0
